X,y
16.24,281.50639999999987
-6.12,41.4716
-5.28,-55.612399999999994
-10.73,106.98435
8.65,117.60875000000001
-23.02,734.2406
17.45,462.44875
-7.61,70.20315
3.19,-32.69085
-2.49,57.19515
14.62,542.1666
-20.6,585.1300000000001
-3.22,22.272599999999997
-3.84,-106.72160000000001
11.34,302.9234
-11.0,68.19
-1.72,-81.4624
-8.78,141.64260000000002
0.42,20.834600000000002
5.83,183.10835
-11.01,288.58515
11.45,183.75875
9.02,167.4506
5.02,232.4106
9.01,250.95515
-6.84,118.5384
-1.23,129.58435
-9.36,39.19439999999998
-2.68,66.0536
5.3,202.615
-6.92,210.6996
-3.97,-69.87365
-6.87,22.580349999999996
-8.45,116.79875000000001
-6.71,16.151149999999994
-0.13,-38.60965
-11.17,217.45835
2.34,-17.936600000000006
16.6,293.6500000000001
7.42,145.7346
-1.92,-42.6404
-8.88,15.051600000000022
-7.47,-98.01365
16.92,591.0296000000001
0.51,-219.53485
-6.37,-130.35965
1.91,-14.422849999999999
21.0,858.9
1.2,138.33
6.17,-35.801649999999995
3.0,7.239999999999998
-3.52,-143.7844
-11.43,258.08235
-3.49,-140.60485
-2.09,-14.08285
5.87,176.53035
8.39,113.71315000000003
9.31,310.61915
2.86,-63.720600000000005
8.85,186.37874999999997
-7.54,145.2174
12.53,266.38634999999994
5.13,197.06035
-2.98,58.7006
4.89,-109.75685000000001
-0.76,395.0664
11.32,297.6936
15.2,411.49
21.86,654.4194
-13.96,252.6424
-14.44,217.24039999999997
-5.04,85.9024
1.6,47.61
8.76,332.06640000000004
3.16,41.2684
-20.22,594.8526
-3.06,41.5854
8.28,117.96759999999998
2.3,-1.3550000000000004
7.62,224.8666
-2.22,78.6226
-2.01,-62.91485
1.87,-98.54965
4.1,33.824999999999996
1.98,129.9506
1.19,4.539149999999999
-6.71,219.69115
3.78,-41.84740000000001
1.22,21.662599999999998
11.29,-19.91885000000002
11.99,199.03515
1.85,-18.30125
-3.75,60.05875
-6.39,210.95315
4.23,46.13435000000001
0.77,149.97435
-3.44,72.88040000000001
0.44,101.4704
-6.2,-9.65999999999999
6.98,237.0106
-4.47,-91.97364999999999
12.25,318.48875
4.03,-55.74364999999999
5.94,22.905400000000014
-10.95,-3.611249999999984
1.69,-40.43085000000001
7.41,144.40715
-9.54,97.24739999999998
-2.66,-132.4766
0.33,149.38835
-13.73,269.43435
3.15,127.71875
8.46,216.48740000000004
-8.6,15.350000000000009
3.51,-162.73485
-13.12,121.74159999999999
-0.39,122.38315
-16.16,230.80839999999998
11.21,310.33115
4.09,-20.832850000000008
-0.25,39.52875
-7.75,-118.42124999999999
12.74,405.76140000000004
19.67,646.2383500000001
-18.58,542.3746
12.36,292.4044
16.28,535.3476
3.38,19.776600000000002
-11.99,249.01515
8.63,-8.039649999999966
-1.81,-108.49085
-6.04,107.13239999999999
-12.3,180.96500000000003
5.51,42.94515
7.93,105.12234999999998
-6.24,87.7364
5.21,0.6211500000000001
-11.44,208.30039999999997
8.02,33.970599999999976
0.47,-37.75364999999999
-1.87,98.20035
-1.02,106.1206
8.69,34.969149999999985
7.5,195.485
5.29,-42.42885
1.38,81.9866
0.78,-185.2374
6.18,-31.791399999999996
2.32,-33.7064
6.83,78.22835
-3.1,146.925
-24.35,895.5587499999999
10.39,356.84315000000004
21.87,915.65035
4.41,17.317150000000005
-1.0,-27.63
-1.36,105.9144
-1.19,2.9991499999999998
0.17,-14.061649999999998
-11.22,17.042599999999993
-5.17,12.348350000000002
-9.97,-163.89365
2.49,-26.594849999999997
-2.97,-94.15365
4.95,124.33875
-1.75,-48.40125
9.86,148.42939999999996
2.14,150.0694
21.91,692.8471500000002
-18.96,505.5324
-6.47,-148.38365
9.01,163.27515
25.28,1089.1276
-2.49,87.57515
0.44,-87.03960000000001
-2.26,32.721399999999996
13.31,345.13915
-2.87,1.3903500000000015
6.8,109.15999999999998
-3.2,51.510000000000005
-12.73,239.31435000000002
3.14,-72.82059999999998
5.03,-63.033649999999994
12.93,547.63235
-1.1,190.945
-6.17,-102.66164999999998
5.63,113.27035000000001
2.41,80.88715
2.81,97.80914999999999
-0.73,13.28435
11.6,150.75
3.69,16.099149999999998
19.05,562.9187499999999
11.11,238.47314999999998
6.59,62.367149999999995
-16.27,327.95435
6.02,178.29059999999998
4.2,165.22
